listing_id,manufacturer,price,location,Model:,Condition:,Location:,Listing ID:,Update:,Year of construction:,Mileage:
20821132,Mercedes,"€37,400                            
                                            €38,900                                    
         Fixed price plus VAT        
        (€45,254 gross)",Veghel,Arocs 3351 Arocs 6X6 Hydrodrive Big-Axle,used,"Veghel, Netherlands",A208-21-132,14.03.2026,2016,"495,717 km"
21508567,Scania,"€58,900                            
         Fixed price plus VAT        
        (€71,269 gross)",Veghel,R500 4X2 Retarder 2xTanks Standklima Navi ACC,used,"Veghel, Netherlands",A215-08-567,14.03.2026,2021,"446,746 km"
21508547,Scania,"€46,900                            
         Fixed price plus VAT        
        (€56,749 gross)",Veghel,R580 R 6X2 V8 Full-Air Retarder PTO Alcoa Navi ...,used,"Veghel, Netherlands",A215-08-547,14.03.2026,2019,"751,526 km"
21154992,Iveco,"€85,400                            
         Fixed price plus VAT        
        (€103,334 gross)",Veghel,S-Way 500 4X2 NEW! 2xTanks HPEB Standklima ACC ...,new,"Veghel, Netherlands",A211-54-992,14.03.2026,2026,11 km
21508242,MAN,"€17,900                            
         Fixed price plus VAT        
        (€21,659 gross)",Veghel,TGX 18.460 TGX 4X2 XXL Retarder 2xTanks,used,"Veghel, Netherlands",A215-08-242,14.03.2026,2018,"461,851 km"
21134702,Renault,"€165,000                            
         Fixed price plus VAT        
        (€199,650 gross)",Veghel,K 520 K 6X6 Palfinger S260L87 Holz Crane wood t...,used,"Veghel, Netherlands",A211-34-702,14.03.2026,2022,"56,238 km"
21500947,MAN,"€27,950                            
         ONO plus VAT        
        (€33,820 gross)",Vuren,TGX 18.470 / 2x Tank / Retarder / Euro 6,good (used),"Vuren, Netherlands",A215-00-947,13.03.2026,2021,"455,440 km"
21500917,MAN,"€27,950                            
         ONO plus VAT        
        (€33,820 gross)",Vuren,TGX 18.470 / 2x Tank / Retarder / Euro 6,good (used),"Vuren, Netherlands",A215-00-917,13.03.2026,2021,"424,070 km"
21042452,Mercedes-Benz,"€10,950                            
                                            €11,950                                    
         ONO plus VAT        
        (€13,250 gross)",Vuren,Actros Big space / Automatic,good (used),"Vuren, Netherlands",A210-42-452,13.03.2026,2014,"909,801 km"
21496577,SCANIA,"€16,950                            
         ONO plus VAT        
        (€20,510 gross)",Vuren,G410,good (used),"Vuren, The Netherlands",A214-96-577,14.03.2026,2015,"1,030,887 km"
21496562,MERCEDES-BENZ,"€48,900                            
         ONO plus VAT        
        (€59,169 gross)",Vuren,ACTROS 1848 LS BIG SPACE,good (used),"Vuren, The Netherlands",A214-96-562,14.03.2026,2021,"351,402 km"
21496532,MAN,"€16,950                            
         ONO plus VAT        
        (€20,510 gross)",Vuren,18.460 TGX,good (used),"Vuren, The Netherlands",A214-96-532,13.03.2026,2018,"632,359 km"
21496512,DAF,"€10,900                            
         ONO plus VAT        
        (€13,189 gross)",Vuren,XF 440 MANUAL,used,"Vuren, The Netherlands",A214-96-512,14.03.2026,2014,"902,635 km"
21496487,SCANIA,"€20,950                            
         ONO plus VAT        
        (€25,350 gross)",Vuren,R410,good (used),"Vuren, The Netherlands",A214-96-487,13.03.2026,2016,"1,149,657 km"
21504297,DAF,"€29,400                            
         Fixed price plus VAT        
        (€35,574 gross)",Veghel,XF 530 4X2 SC Retarder,used,"Veghel, Netherlands",A215-04-297,13.03.2026,2021,"362,971 km"
21504292,Iveco,"€49,900                            
         Fixed price plus VAT        
        (€60,379 gross)",Veghel,S-Way 490 S-Way 4X2 AS Retarder 2xTanks Navi St...,used,"Veghel, Netherlands",A215-04-292,13.03.2026,2023,"279,225 km"
21504282,DAF,"€30,900                            
         Fixed price plus VAT        
        (€37,389 gross)",Veghel,XF 530 4X2 SC Retarder,used,"Veghel, Netherlands",A215-04-282,13.03.2026,2021,"291,377 km"
21504277,MAN,"€32,400                            
         Fixed price plus VAT        
        (€39,204 gross)",Veghel,TGX 18.470 4X2 GX Mega Retarder 2xTanks,used,"Veghel, Netherlands",A215-04-277,13.03.2026,2021,"440,923 km"
21504272,Mercedes,"€41,900                            
         Fixed price plus VAT        
        (€50,699 gross)",Veghel,Actros 1846 4X2 Bigspace Retarder Mirrorcam Navi,used,"Veghel, Netherlands",A215-04-272,13.03.2026,2021,"393,075 km"
21504262,Mercedes,"€41,400                            
         Fixed price plus VAT        
        (€50,094 gross)",Veghel,Actros 1846 4X2 Bigspace Retarder Mirrorcam Navi,used,"Veghel, Netherlands",A215-04-262,13.03.2026,2021,"405,445 km"
21504257,Mercedes,"€41,900                            
         Fixed price plus VAT        
        (€50,699 gross)",Veghel,Actros 1846 4X2 Bigspace Retarder Mirrorcam Navi,used,"Veghel, Netherlands",A215-04-257,13.03.2026,2021,"369,192 km"
21504252,Mercedes,"€41,400                            
         Fixed price plus VAT        
        (€50,094 gross)",Veghel,Actros 1846 4X2 Bigspace Retarder Mirrorcam Navi,used,"Veghel, Netherlands",A215-04-252,13.03.2026,2021,"400,426 km"
21500687,VOLVO,"€56,600                            
         Fixed price plus VAT        
        (€68,486 gross)",Heteren,FH 460 Globetrotter XL i-Save,used,,A215-00-687,13.03.2026,2022,"509,495 km"
21500167,VOLVO,"€64,800                            
         Fixed price plus VAT        
        (€78,408 gross)",Heteren,FH 460 Globetrotter XL i-Save,used,,A215-00-167,13.03.2026,2023,"383,706 km"
21500162,VOLVO,"€69,500                            
         Fixed price plus VAT        
        (€84,095 gross)",Heteren,FH 460 Globetrotter XL i-Save,used,,A215-00-162,13.03.2026,2023,"258,005 km"
21500977,Volvo,"€31,900                            
         Fixed price plus VAT        
        (€38,599 gross)",Veghel,FH 460 4X2 Mega 2xTanks VEB+ Alcoa's I-ParkCool,used,"Veghel, Netherlands",A215-00-977,13.03.2026,2019,"533,452 km"
21499322,Volvo,"€31,400                            
         Fixed price plus VAT        
        (€37,994 gross)",Veghel,FH 500 FH 4X2 NL VEB+ 2xTanks I-ParkCool,used,"Veghel, Netherlands",A214-99-322,13.03.2026,2018,"776,170 km"
21168762,DAF,"€64,900                            
         ONO plus VAT        
        (€78,529 gross)",Vuren,XG+ 530 XG+ INTARDER 2X TANK,good (used),"Vuren, The Netherlands",A211-68-762,12.03.2026,2023,"342,797 km"
21496517,Scania,"€128,900                            
         Fixed price plus VAT        
        (€155,969 gross)",Veghel,S560 4X2 NEW! Retarder 2xTanks LED ACC Standkli...,new,"Veghel, Netherlands",A214-96-517,13.03.2026,2026,6 km
21496502,Scania,"€128,900                            
         Fixed price plus VAT        
        (€155,969 gross)",Veghel,S560 4X2 NEW! Retarder 2xTanks LED ACC Standkli...,new,"Veghel, Netherlands",A214-96-502,13.03.2026,2026,6 km
21496482,Scania,"€120,900                            
         Fixed price plus VAT        
        (€146,289 gross)",Veghel,S460 4X2 NEW! Retarder Full-Air 2xTanks LED ACC...,new,"Veghel, Netherlands",A214-96-482,13.03.2026,2026,11 km
20805862,MAN,"€14,900                            
         Fixed price plus VAT        
        (€17,731 gross)",Viersen,TGX 18.440 4x2   BLS  XLX,used,,A208-05-862,14.03.2026,2015,"499,999 km"
21488377,Volvo,"€10,950                            
         ONO plus VAT        
        (€13,250 gross)",Vuren,FM 420 Engine Damage / Euro 6 / Automatic,good (used),"Vuren, Netherlands",A214-88-377,12.03.2026,2016,"848,751 km"
21487137,MAN,"€23,950                            
         ONO plus VAT        
        (€28,980 gross)",Vuren,18.460 TGX XLX 4X4H PTO+HYDR.,good (used),"Vuren, The Netherlands",A214-87-137,14.03.2026,2017,"418,789 km"
21487122,MAN,"€21,900                            
         ONO plus VAT        
        (€26,499 gross)",Vuren,18.430 TGS 385TKM E6D INTARDER,good (used),"Vuren, The Netherlands",A214-87-122,14.03.2026,2020,"385,279 km"
21487022,SCANIA,"€29,900                            
         ONO plus VAT        
        (€36,179 gross)",Vuren,R450,good (used),"Vuren, The Netherlands",A214-87-022,12.03.2026,2018,"656,594 km"
21486957,SCANIA,"€94,900                            
         ONO plus VAT        
        (€114,829 gross)",Vuren,R460 SUPER PTO+HYDR. LED,good (used),"Vuren, The Netherlands",A214-86-957,14.03.2026,2024,"123,153 km"
21486882,DAF,"€15,950                            
         ONO plus VAT        
        (€19,300 gross)",Vuren,CF 450 SPACECAB ALCOA'S,good (used),"Vuren, The Netherlands",A214-86-882,12.03.2026,2020,"928,314 km"
21508652,DAF,"€45,400                            
         Fixed price plus VAT        
        (€54,026 gross)",Dortmund,XF 480 4X2 2xTanks ACC Euro6,used,"Dortmund, Germany",A215-08-652,14.03.2026,2022,"370,100 km"
21508642,DAF,"€45,400                            
         Fixed price plus VAT        
        (€54,026 gross)",Dortmund,XF 480 4X2 2xTanks ACC Euro6,used,"Dortmund, Germany",A215-08-642,15.03.2026,2022,"398,271 km"
21508637,DAF,"€33,900                            
         Fixed price plus VAT        
        (€40,341 gross)",Dortmund,XF 480 4X2 Retarder 2xTanks Standklima ACC Euro6,used,"Dortmund, Germany",A215-08-637,14.03.2026,2021,"505,324 km"
