manufacturer,Model,Condition,Listing ID,Update,Year of construction,Mileage,price,ville,pays
MAN,TGX 18.470 4X2 GX Mega Retarder 2xTanks,used,A214-60-642,2026-03-09,2021,482875,31400,Veghel,Netherlands
MAN,TGX 18.470 4X2 GX Mega Retarder 2xTanks,used,A214-60-627,2026-03-09,2021,464694,31900,Veghel,Netherlands
MAN,TGX 18.470 4X2 GX Mega Retarder 2xTanks,used,A214-60-617,2026-03-09,2021,469348,31900,Veghel,Netherlands
VOLVO,FH 460 Globetrotter XL Varios i-Save,used,A214-54-617,2026-03-09,2022,436271,59000,Heteren,Netherlands
Scania,S460 4X2 NEW! Retarder Full-Air 2xTanks LED ACC...,new,A214-56-402,2026-03-09,2026,11,120900,Veghel,Netherlands
Renault,Magnum 480 Magnum 4X2 NL-Truck TUV-2027!,used,A214-56-207,2026-03-09,2005,824265,9400,Veghel,Netherlands
DAF,XF 480 4X2 SC Mega 2xTanks,used,A214-54-077,2026-03-09,2021,574205,22900,Veghel,Netherlands
DAF,XF 480 4X2 SC Mega 2xTanks,used,A214-54-072,2026-03-09,2021,606482,22400,Veghel,Netherlands
DAF,XG+ 530 4X2 Retarder 2xTanks Standklima,used,A214-70-942,2026-03-11,2023,224085,66400,Dortmund,Germany
DAF,XG 530 4X2 Retarder 2xTanks,used,A214-70-937,2026-03-11,2022,281595,53800,Dortmund,Germany
DAF,XG 530 4X2 Retarder 2xTanks,used,A214-70-932,2026-03-11,2022,281513,53800,Dortmund,Germany
MAN,TGX 18.470 GX,used,A215-01-512,2026-03-13,2022,500943,39400,Sagunto,Spain
MAN,TGX 18.470 GX,used,A215-01-502,2026-03-13,2022,272360,52800,Sagunto,Spain
SCANIA,R450 CR20H Retarder ACC,used,A215-01-027,2026-03-13,2023,381279,71300,Sagunto,Spain
VOLVO,FH 460 Globetrotter XL Retarder i-Save,used,A215-01-002,2026-03-13,2023,307160,73800,Sagunto,Spain
VOLVO,FH 460 XL i-Save I-ParkCool Retarder,used,A215-00-117,2026-03-13,2023,320134,75400,Sagunto,Spain
VOLVO,FH 460 Globetrotter XL i-Save I-ParkCool,used,A215-00-112,2026-03-13,2023,297779,71000,Sagunto,Spain
DAF,XF 530 4X2 SC Retarder,used,A214-60-857,2026-03-10,2021,335708,30900,Madrid,Spain
DAF,XF 480 4X2 2xTanks ACC,used,A214-59-157,2026-03-14,2022,362720,45400,Dortmund,Germany
DAF,XF 480 4X2 2xTanks ACC,used,A214-59-147,2026-03-14,2022,378661,45400,Dortmund,Germany
DAF,XF 480 4X2 SC Hydraulic,used,A214-58-982,2026-03-11,2020,412280,24900,Dortmund,Germany
DAF,XG 480 4X2 Retarder 2xTanks,used,A214-58-962,2026-03-09,2022,327638,52900,Dortmund,Germany
DAF,XF 480 4X2 Retarder 2xTanks,used,A214-58-947,2026-03-11,2022,394637,49900,Dortmund,Germany
DAF,XF 530 FTT 6X4 60T PTO+HYDR,good (used),A214-50-162,2026-03-11,2019,504855,39900,Vuren,Netherlands
DAF,XF 480 SSC 6X2 FTG,good (used),A214-50-147,2026-03-07,2018,808055,21950,Vuren,Netherlands
VOLVO,FH 460 Globetrotter XL i-Save I-ParkCool,used,A214-87-707,2026-03-12,2022,321798,66300,Sagunto,Spain
MAN,"18.580 LL SA, Voll- Luft Federung, Kipphydraulik",used,A207-14-600,2026-03-13,2022,299355,63890,Lichtenfels,Germany
MAN,"TGX 18.510 BL SA Kipphydr., MIETEN?",used,A214-94-952,2026-03-13,2022,296117,48990,Lichtenfels,Germany
MAN,TGS 18.470 4X2 Retarder ADR ACC,used,A214-51-057,2026-03-07,2020,735490,28900,Veghel,Netherlands
Volvo,FH 460 4X2 ADR Retarder VEB+ Alcoa's,used,A214-51-052,2026-03-10,2020,693581,44900,Veghel,Netherlands
DAF,XF 530 4X2 SSC Retarder 2xTanks Full-Air Standk...,used,A214-51-037,2026-03-13,2021,604093,30900,Veghel,Netherlands
Volvo,FM 340 FM 4X2 NL-Truck VEB Euro 3,used,A214-51-032,2026-03-07,2005,654924,11900,Veghel,Netherlands
DAF,XF 480 4X2 SC Hydraulik,used,A214-51-017,2026-03-10,2019,887848,9900,Veghel,Netherlands
MAN,TGX 18.510 4X2 GX Retarder ACC Standklima,used,A214-51-007,2026-03-09,2020,486383,34800,Veghel,Netherlands
